gene_id	gene_name	Minus_cre_p53mut	Plus_cre_p53mut
ENSMUSG00000000776	Polr3d	1913.10529225573	1460.71857086716
ENSMUSG00000000782	Tcf7	220.790152971022	63.2899880916446
ENSMUSG00000000787	Ddx3x	13272.5452731039	10552.0226089749
ENSMUSG00000000791	Il12rb1	36.1038972478954	6.1590385183869
ENSMUSG00000000792	Slc5a5	96.1186099167124	218.30282752398
ENSMUSG00000000794	Kcnn3	22.0135197393766	0.571521497524549
ENSMUSG00000000804	Usp32	1337.98464216561	1132.87474868404
ENSMUSG00000000805	Car4	98.6582335836226	0
ENSMUSG00000000811	Txnrd3	1164.74711202834	755.890733012209
ENSMUSG00000000817	Fasl	0	0
ENSMUSG00000000823	Zfp512b	2811.8576888905	1886.47685610135
ENSMUSG00000000826	Dnajc5	6854.85279302201	6857.4586020795
ENSMUSG00000000827	Tpd52l2	4928.33760269097	4393.3919179936
ENSMUSG00000000838	Fmr1	2094.70175088016	1697.85196068385
ENSMUSG00000000861	Bcl11a	62.4202689239538	0.545904614327931
ENSMUSG00000000869	Il4	29.8567991683313	4.96730136174423
ENSMUSG00000000876	Pxmp4	858.496372536381	820.95077044042
ENSMUSG00000000881	Dlg3	1409.3471268532	1459.52804830412
ENSMUSG00000000884	Gnb1l	389.422440646659	202.109810442118
ENSMUSG00000000889	Dbh	1.33933075689474	0
ENSMUSG00000000901	Mmp11	223.512876720344	118.565921985147
ENSMUSG00000000902	Smarcb1	4486.05848044027	3445.80331254749
ENSMUSG00000000903	Vpreb3	42.4673975441947	0
ENSMUSG00000000915	Hip1r	2676.15003353216	1672.21078561524
ENSMUSG00000000916	Nsun5	1477.19343171167	928.272481757452
ENSMUSG00000000934	Top1mt	695.168748143417	687.436237725246
ENSMUSG00000000938	Hoxa10	7.73789277110272	0
ENSMUSG00000000942	Hoxa4	5.7826982373791	0
ENSMUSG00000000948	Gm38393	13.9768635175884	0.41638476954503
ENSMUSG00000000957	Mmp14	1928.61627385192	15.6935430683282
ENSMUSG00000000958	Slc7a7	387.869112508046	1285.14117115194
ENSMUSG00000000959	Oxa1l	3033.77223488411	2715.00404058237
ENSMUSG00000000976	Heatr6	848.106752636319	756.176990640171
ENSMUSG00000000982	Ccl3	0	0
ENSMUSG00000000983	Wfdc18	2450.68478333586	84.2864468168727
ENSMUSG00000001014	Icam4	5.05486533458514	40.5740512906435
ENSMUSG00000001016	Ilf2	4073.85176677262	3435.8981913232
ENSMUSG00000001017	Chtop	6664.21968036693	6116.13393802216
ENSMUSG00000001018	Snapin	3109.27717422416	2217.0903933625
ENSMUSG00000001020	S100a4	856.765384926755	239.840111653937
ENSMUSG00000001021	S100a3	211.356401476244	185.43117675552
ENSMUSG00000001023	S100a5	0	0
ENSMUSG00000001025	S100a6	50275.4121390818	30808.028030636
ENSMUSG00000001027	Scn4a	37.5754818794304	2.90354120921668
ENSMUSG00000001029	Icam2	170.830697689337	70.7384281338613
ENSMUSG00000001034	Mapk7	1320.09335949806	1185.67650020587
ENSMUSG00000001036	Epn2	2267.10223287839	1982.19914333111
ENSMUSG00000001039	B9d1	2261.7960918988	1708.76442167281
ENSMUSG00000001052	Sec24b	4349.2406045162	3931.45210401378
ENSMUSG00000001053	N4bp3	812.20247880916	528.679579147805
ENSMUSG00000001054	Rmnd5b	2946.4623106636	1621.93064082428
ENSMUSG00000001056	Nhp2	10693.0155275939	9740.78847691565
ENSMUSG00000001062	Vps9d1	652.762137677206	457.943138530743
ENSMUSG00000001065	Zfp276	802.594224741343	589.079993856631
ENSMUSG00000001076	C1ql4	2.53807880194492	0
ENSMUSG00000001082	Mfsd10	5443.2044890509	4451.14010195077
ENSMUSG00000001089	Luzp1	1016.33186764153	770.436153875889
ENSMUSG00000001095	Slc13a2	1603.51247249943	295.732562216958
ENSMUSG00000001098	Kctd10	5961.98324217519	5596.07747655402
ENSMUSG00000001100	Poldip2	4056.19872914993	3179.8839992058
ENSMUSG00000001103	Sebox	1.47736108314443	0
ENSMUSG00000001105	Ift20	6562.96466311268	5379.5928404402
