,gene_id,gene_name,EntrezGene,logFC,logCPM,LR,PValue,FDR,topDE
16865,ENSMUSG00000059751,Rps3a3,668144,3.357017293,2.724870239,39.46033332,3.35E-10,5.16E-08,Up
7230,ENSMUSG00000029334,Prkg2,19092,3.414707492,2.206298998,39.1228971,3.98E-10,6.07E-08,Up
2113,ENSMUSG00000019699,Akt3,23797,3.235541457,3.763543428,38.79800697,4.70E-10,7.08E-08,Up
19287,ENSMUSG00000069171,Nr2f1,13865,3.284319729,2.938543959,38.52688923,5.40E-10,8.04E-08,Up
9343,ENSMUSG00000033453,Adamts15,235130,3.298044798,2.796081519,38.50204785,5.47E-10,8.05E-08,Up
17456,ENSMUSG00000062444,Ap3b2,11775,-3.181544263,4.226220158,38.30248208,6.06E-10,8.81E-08,Down
7425,ENSMUSG00000029646,Cdx2,12591,3.356904562,2.219058254,38.12759887,6.63E-10,9.53E-08,Up
22340,ENSMUSG00000079363,Gbp4,17472,-3.17750229,4.066960905,38.10301978,6.71E-10,9.54E-08,Down
15032,ENSMUSG00000051359,Ncald,52589,3.460411665,1.688585769,38.03015154,6.97E-10,9.79E-08,Up
23515,ENSMUSG00000081684,Rps2-ps13,546298,3.330781281,2.316957713,37.94123065,7.29E-10,1.01E-07,Up
32876,ENSMUSG00000096942,Rps19-ps6,100503302,3.29943156,2.527570139,37.919214,7.37E-10,1.01E-07,Up
2897,ENSMUSG00000021069,Pygl,110095,3.362682123,2.056452205,37.72081623,8.16E-10,1.11E-07,Up
18724,ENSMUSG00000066108,Muc5b,74180,3.097213813,7.07303559,37.40583921,9.59E-10,1.29E-07,Up
896,ENSMUSG00000005800,Mmp8,17394,3.23868371,2.742666963,37.27291911,1.03E-09,1.37E-07,Up
6324,ENSMUSG00000027831,Veph1,72789,3.178167438,3.155235006,36.86533212,1.27E-09,1.67E-07,Up
16822,ENSMUSG00000059552,Trp53,22059,-3.075922238,5.916408183,36.81707364,1.30E-09,1.69E-07,Down
8287,ENSMUSG00000031342,Gpm6b,14758,3.170637071,3.025212316,36.51226966,1.52E-09,1.96E-07,Up
1842,ENSMUSG00000017737,Mmp9,17395,3.139791307,3.164540989,36.14297291,1.83E-09,2.34E-07,Up
11556,ENSMUSG00000039519,Cyp7b1,13123,3.099156289,3.719417344,36.04706051,1.93E-09,2.44E-07,Up
30046,ENSMUSG00000091269,Gm6682,626534,3.357169593,1.589141025,35.92025757,2.06E-09,2.57E-07,Up
6579,ENSMUSG00000028262,Clca3a2,80797,3.025756404,6.427330219,35.84196851,2.14E-09,2.65E-07,Up
4252,ENSMUSG00000024039,Cbs,12411,3.043122296,4.684983035,35.65731617,2.35E-09,2.89E-07,Up
387,ENSMUSG00000002204,Napsa,16541,3.249441112,1.954770391,35.4256009,2.65E-09,3.22E-07,Up
10199,ENSMUSG00000035969,Rusc2,100213,-3.008975137,5.129176366,35.23912273,2.92E-09,3.51E-07,Down
48552,ENSMUSG00000114547,Gm3226,100041240,3.154093405,2.302430431,34.72745789,3.79E-09,4.53E-07,Up
786,ENSMUSG00000004952,Rasa4,54153,3.262777477,1.650324227,34.60712373,4.03E-09,4.77E-07,Up
13560,ENSMUSG00000045954,Cavin2,20324,3.189289744,2.00380971,34.53773307,4.18E-09,4.90E-07,Up
4385,ENSMUSG00000024245,Tmem178,68027,3.214218946,1.812680859,34.36517001,4.57E-09,5.30E-07,Up
1411,ENSMUSG00000013033,Adgrl1,330814,3.067304944,2.845245376,34.26461284,4.81E-09,5.53E-07,Up
7382,ENSMUSG00000029581,Fscn1,14086,3.173764583,1.98998188,34.2289349,4.90E-09,5.58E-07,Up
5258,ENSMUSG00000025934,Gsta3,14859,2.953504479,5.506283178,34.17623207,5.03E-09,5.69E-07,Up
12567,ENSMUSG00000042428,Mgat3,17309,2.961137579,4.733959378,34.04356091,5.39E-09,6.03E-07,Up
7513,ENSMUSG00000029802,Abcg2,26357,3.121719216,2.158208038,33.78946969,6.14E-09,6.81E-07,Up
4795,ENSMUSG00000024987,Cyp26a1,13082,3.188436066,1.762019492,33.76403867,6.22E-09,6.84E-07,Up
13074,ENSMUSG00000044244,Il20rb,213208,2.966862116,4.048133433,33.7448807,6.28E-09,6.85E-07,Up
13221,ENSMUSG00000044726,Erich5,239368,3.172331176,1.813217994,33.66100576,6.56E-09,7.09E-07,Up
17879,ENSMUSG00000064281,Rpl19-ps1,100039695,3.237871913,1.463452552,33.48882166,7.17E-09,7.68E-07,Up
17280,ENSMUSG00000061718,Ppp1r1b,19049,2.912358983,5.293315734,33.29058824,7.94E-09,8.44E-07,Up
1998,ENSMUSG00000018819,Lsp1,16985,3.119693254,1.941947146,33.16082379,8.48E-09,8.94E-07,Up
51829,ENSMUSG00000118220,Gm6192,620946,3.219592689,1.417352886,33.01525041,9.14E-09,9.56E-07,Up
5050,ENSMUSG00000025467,Prap1,22264,2.874547278,9.017383611,32.94934196,9.46E-09,9.81E-07,Up
9732,ENSMUSG00000034612,Chst11,58250,3.210551242,1.415130128,32.86314187,9.89E-09,1.01E-06,Up
11519,ENSMUSG00000039405,Prss23,76453,2.973899729,3.06043596,32.85545926,9.93E-09,1.01E-06,Up
6628,ENSMUSG00000028358,Zfp618,72701,2.911833675,3.740418914,32.43399976,1.23E-08,1.25E-06,Up
19206,ENSMUSG00000068740,Celsr2,53883,2.85603118,6.174087256,32.37289304,1.27E-08,1.28E-06,Up
927,ENSMUSG00000005973,Rcn1,19672,3.124565599,1.65432055,32.34642151,1.29E-08,1.28E-06,Up
9275,ENSMUSG00000033220,Rac2,19354,3.092390216,1.742377848,32.09991041,1.46E-08,1.45E-06,Up
360,ENSMUSG00000002020,Ltbp2,16997,2.836650071,6.910403949,32.08140575,1.48E-08,1.45E-06,Up
24497,ENSMUSG00000082809,Gm14150,100043840,3.121462139,1.587893007,32.07062568,1.49E-08,1.45E-06,Up
18963,ENSMUSG00000067377,Tspan6,56496,3.047778213,1.942936724,31.93823634,1.59E-08,1.54E-06,Up
11788,ENSMUSG00000040152,Thbs1,21825,2.830297384,6.498944619,31.90933993,1.62E-08,1.55E-06,Up
7889,ENSMUSG00000030559,Rab38,72433,3.146058407,1.40751147,31.8131573,1.70E-08,1.61E-06,Up
13269,ENSMUSG00000044921,Rassf9,237504,2.844881311,4.618531935,31.70602411,1.79E-08,1.69E-06,Up
4418,ENSMUSG00000024302,Dtna,13527,2.93119904,2.747076313,31.6003212,1.89E-08,1.77E-06,Up
4033,ENSMUSG00000023041,Krt6b,16688,-2.821547452,5.029109897,31.47706426,2.02E-08,1.88E-06,Down
23784,ENSMUSG00000081992,Gm13408,623448,3.09689409,1.507924949,31.39657069,2.10E-08,1.94E-06,Up
4179,ENSMUSG00000023913,Pla2g7,27226,2.954201397,2.384111278,31.35707208,2.15E-08,1.97E-06,Up
19696,ENSMUSG00000070942,Il1rl2,107527,2.951567946,2.359684081,31.26110453,2.26E-08,2.05E-06,Up
9415,ENSMUSG00000033717,Adra2a,11551,2.882926094,3.047478461,31.15179121,2.39E-08,2.16E-06,Up
16400,ENSMUSG00000057614,Gnai1,14677,2.834757309,3.730119366,30.95990336,2.63E-08,2.36E-06,Up
339,ENSMUSG00000001930,Vwf,22371,2.963567209,2.101524899,30.9025903,2.71E-08,2.42E-06,Up
955,ENSMUSG00000006205,Htra1,56213,2.850490734,3.273757021,30.82199194,2.83E-08,2.50E-06,Up
1586,ENSMUSG00000015340,Cybb,13058,3.044533653,1.583735383,30.80911006,2.85E-08,2.50E-06,Up
13142,ENSMUSG00000044461,Shisa2,219134,2.791985991,4.212614481,30.47948402,3.37E-08,2.94E-06,Up
1333,ENSMUSG00000010663,Fads1,76267,2.783826157,4.292365889,30.36841458,3.57E-08,3.10E-06,Up
3808,ENSMUSG00000022656,Nectin3,58998,2.780318629,4.055302342,30.16360278,3.97E-08,3.42E-06,Up
3774,ENSMUSG00000022583,Ly6f,17071,-2.760517971,4.478564327,30.10029031,4.10E-08,3.51E-06,Down
15103,ENSMUSG00000051639,Fbl-ps2,545184,2.999872073,1.573032268,30.05368739,4.20E-08,3.57E-06,Up
410,ENSMUSG00000002324,Rec8,56739,2.788514048,3.657322849,30.03180927,4.25E-08,3.58E-06,Up
45903,ENSMUSG00000111875,Gm5425,432482,2.984230443,1.549757479,29.7286809,4.97E-08,4.16E-06,Up
2093,ENSMUSG00000019467,Arhgef25,52666,3.020212305,1.344625129,29.60850881,5.29E-08,4.40E-06,Up
8026,ENSMUSG00000030796,Tead2,21677,2.929424079,1.774535561,29.49722636,5.60E-08,4.63E-06,Up
14064,ENSMUSG00000047747,Rnf150,330812,2.745639564,3.929085063,29.42966091,5.80E-08,4.76E-06,Up
8984,ENSMUSG00000032484,Ngp,18054,2.715030968,5.137757855,29.39426809,5.91E-08,4.82E-06,Up
15439,ENSMUSG00000053182,Cd200l1,208166,2.844209046,2.324189732,29.31397627,6.16E-08,4.99E-06,Up
224,ENSMUSG00000001270,Ckb,12709,2.848285518,2.275931216,29.29137848,6.23E-08,5.02E-06,Up
3470,ENSMUSG00000022096,Hr,15460,2.914556004,1.761564323,29.21742362,6.47E-08,5.18E-06,Up
13921,ENSMUSG00000047228,A2ml1,232400,2.780613396,2.848096522,29.03208575,7.12E-08,5.66E-06,Up
31897,ENSMUSG00000095079,Igha,238447,2.986777348,1.267611021,28.81671389,7.96E-08,6.29E-06,Up
20219,ENSMUSG00000073490,Ifi207,226691,-2.862991948,1.69798586,28.70101585,8.45E-08,6.64E-06,Down
11708,ENSMUSG00000039943,Plcb4,18798,2.716977188,3.528072606,28.60059426,8.90E-08,6.91E-06,Up
1872,ENSMUSG00000017978,Cadps2,320405,2.687608074,4.391726182,28.59920144,8.90E-08,6.91E-06,Up
13202,ENSMUSG00000044676,Zfp612,234725,2.813989022,2.147647722,28.44727735,9.63E-08,7.43E-06,Up
17220,ENSMUSG00000061414,Cracr2a,381812,2.916851666,1.432030611,28.28745311,1.05E-07,8.02E-06,Up
13628,ENSMUSG00000046203,Sprr2g,20761,-2.644577646,5.690797481,28.21431855,1.09E-07,8.28E-06,Down
10874,ENSMUSG00000037902,Sirpa,19261,2.667927708,4.22329928,28.1500666,1.12E-07,8.48E-06,Up
3275,ENSMUSG00000021750,Fam107a,268709,2.64178743,5.769639222,28.14380237,1.13E-07,8.48E-06,Up
4610,ENSMUSG00000024669,Cd5,12507,-2.661167448,4.181771609,28.09274424,1.16E-07,8.66E-06,Down
6718,ENSMUSG00000028517,Plpp3,67916,2.678314392,3.760798271,28.06703577,1.17E-07,8.72E-06,Up
4405,ENSMUSG00000024277,Mapre2,212307,2.673073805,3.712749353,27.93721989,1.25E-07,9.27E-06,Up
7003,ENSMUSG00000028965,Tnfrsf9,21942,-2.731238636,2.349717323,27.71706402,1.40E-07,1.03E-05,Down
1685,ENSMUSG00000015981,Stk32c,57740,-2.866312341,1.279891964,27.62751735,1.47E-07,1.08E-05,Down
1676,ENSMUSG00000015950,Ncf1,17969,2.824020387,1.711987007,27.6102522,1.48E-07,1.08E-05,Up
7122,ENSMUSG00000029154,Cwh43,231293,2.868167469,1.429824021,27.51872085,1.56E-07,1.12E-05,Up
17526,ENSMUSG00000062743,Zfp677,210503,2.906129605,1.245228998,27.50696977,1.57E-07,1.13E-05,Up
8613,ENSMUSG00000031870,Pgr,18667,2.680966087,3.046718667,27.49113004,1.58E-07,1.13E-05,Up
5960,ENSMUSG00000027199,Gatm,67092,2.905021982,1.147141124,27.14831577,1.88E-07,1.34E-05,Up
19054,ENSMUSG00000067924,Rtl8b,553127,2.725363683,2.163057567,26.97986207,2.06E-07,1.45E-05,Up
21167,ENSMUSG00000076441,Ass1,11898,2.695616774,2.397578847,26.88355706,2.16E-07,1.52E-05,Up
10840,ENSMUSG00000037798,Mat1a,11720,2.881970066,1.127200951,26.7340226,2.33E-07,1.63E-05,Up
3955,ENSMUSG00000022893,Adamts1,11504,2.57515888,4.869348575,26.68597732,2.39E-07,1.66E-05,Up
3676,ENSMUSG00000022436,Sh3bp1,20401,-2.60862333,3.417921926,26.68526507,2.39E-07,1.66E-05,Down
1323,ENSMUSG00000010529,Gm266,212539,-2.613874542,2.993022184,26.42924708,2.73E-07,1.88E-05,Down
17249,ENSMUSG00000061544,Zfp229,381067,2.776836218,1.429548067,26.09739567,3.25E-07,2.22E-05,Up
5392,ENSMUSG00000026175,Vil1,22349,2.831341072,1.132897695,26.00164784,3.41E-07,2.32E-05,Up
5396,ENSMUSG00000026180,Cxcr2,12765,2.78420487,1.31647526,25.87959563,3.63E-07,2.46E-05,Up
6301,ENSMUSG00000027792,Bche,12038,2.649313516,2.163056497,25.7089222,3.97E-07,2.66E-05,Up
13748,ENSMUSG00000046667,Rbm12b1,72397,2.811725764,1.132187835,25.70848528,3.97E-07,2.66E-05,Up
15108,ENSMUSG00000051669,AU021092,239691,2.585129057,2.94094515,25.69090651,4.01E-07,2.67E-05,Up
11956,ENSMUSG00000040584,Abcb1a,18671,2.619406429,2.383814366,25.56885414,4.27E-07,2.82E-05,Up
5384,ENSMUSG00000026163,Sphkap,77629,2.565304382,3.165273333,25.56432321,4.28E-07,2.82E-05,Up
39514,ENSMUSG00000104802,Gm5869,545767,2.613841487,2.303019799,25.35067632,4.78E-07,3.13E-05,Up
13612,ENSMUSG00000046159,Chrm3,12671,2.618763645,2.239561562,25.33078442,4.83E-07,3.15E-05,Up
8343,ENSMUSG00000031430,Vsig1,78789,2.636397259,2.064357415,25.31834119,4.86E-07,3.15E-05,Up
8906,ENSMUSG00000032356,Rasgrf1,19417,-2.538025561,3.130230109,25.20882741,5.14E-07,3.32E-05,Down
